Sha256,Cohort,PythonTensorSha256,CSharpTensorSha256,HashEqual,DifferentFloats,MeanAbsDelta,MaxAbsDelta
31089A698A1E82394B3667FE64BAF03D2A775892EF73B04FB9C439A916E5CC2A,DEVELOPMENT,ED7CF4C819D4936136BAE01D4D215EAD096B6BEB3CFD4D95281C9692284B3BD2,1A02D6DCBB082FD6B384C8CA7A9896C89219E58B51ADDF0449709BEE3AA744E7,false,74228,1.284057,4.464286
3542D120B3139DB932D4DFB7A8D23F072F1FFBEBD924C55AB6494B68851BD418,DEVELOPMENT,C832F7691409A6835B138BCCDF38BC898181871981192BEF809DCA62EFCB62AB,82A7F86BB89143B93EB3ACC171C2DE95C61270545611FF5D40FDA9DC3AB730B9,false,5,0.000001,0.017507
C5DAB04B2642976192FF1B496476C165AAEC82A85C775945E07D2580E0C99279,DEVELOPMENT,43E6026984A24493BBC439AF688984A42A98125E46FAEABEAE408D1636586C72,5DE841D8DE36F3A7C872BE243D620466C342DD1A13D36FC011CF93BF3EFADF22,false,10,0.000001,0.017507
645D7CE914A8E04CD643296A64581A6DE08FB07730F4CC96646A93AFE83EE991,DEVELOPMENT,8E67B0A59A2443AB9C9097FE27396C845C2B194DCA761B91BA415F9E8EB71F25,EBF68E0EF6D315FFB2F39CBE017D25487BE9318ABB3FA51CB6137E002E768709,false,15,0.000002,0.017507
9A641C4729F3EF559F7A6D5A621453270D66916A84727E1556C4FB7525EFABC7,DEVELOPMENT,EBCAB631202EB85C6D7B539E3EAF1A389CA9EA9728A57C6F027650059B027950,BBA6D6FF371F812516362A6A4FBD605FE34725BD65A7B09E832C79C3DA2F2DC1,false,478,0.000055,0.017507
BE8E9456C6B3CD399C535A48BB397D4BF7C91D9CBDC212D5438373DDEFD4B5B5,DEVELOPMENT,4AA5CE8EBBD78EBC667C066573F5B3055B0D77E74CEDC69E2CDE8E4B19D5D140,DBF0586E3DAB96C915FCDF3EEA2F193CEE29844D85C1B0E6DBEA8832E61E8966,false,108172,0.156383,2.888655
94F6E14058C816126DE54ADD5ABC33BE7B27923DDB132FBC9590101D1E82C8D7,DEVELOPMENT,3D4E7D369C6055ECF613B187BE810C135456B18E1893E7D0B8063EDC44C06617,119565750E34067F34F9192AEC5326BF07A569ED9B606180B2D3D8432CBC4169,false,2,0,0.017507
0814C60BD510A3E30D86D313B0DDDB0CB088B987E781388B1C942943A13D554E,DEVELOPMENT,02DAF56A42614DB3C73E0C9F7ED5647CCB9F44087AF73B9E56AD23F88DE9934F,9BD0DECA1F5E1B27A66249D45DD5AF969F23EB97DBF20F8A1ABD4E57E1EEDC37,false,659,0.006936,3.728992
4076445FF73213039D7402664EB4FC48546391227FAB11DAA3224DA874701C8C,DEVELOPMENT,5362D71DECA510D970A435C73DE48F66F23C74DB638D9F4C120C04C30FC34FB3,9E26235A6511CDE23E86591037B0E05991B4DB512FACDB808C850CA53D306CEF,false,127598,2.365341,4.464286
74DA980974A41F7B871D2C47FD7A44101AB5661F1393C6FEFD5399CAA02A68DD,DEVELOPMENT,179B5DCC0C1C5E18F0168B4F7E5F47135B51E303B18FFF33C8C3675EACACD444,B804852175042C19393E4875B91890E228F4EBD97D89B75DEB9B48D858660EBD,false,84567,0.739882,4.464286
