Model,Threshold,TP,TN,FP,FN,Accuracy,PrecisionPositive,RecallPositive,F1Positive,MacroF1,Selected
VISUAL,0.372000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.373000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.374000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.375000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.376000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.377000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.378000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.379000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.380000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.381000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.382000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.383000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.384000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.385000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.386000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.387000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.388000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.389000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.390000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.391000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.392000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.393000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.394000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.395000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.396000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.397000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.398000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.399000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.400000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.401000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.402000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.403000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.404000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.405000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.406000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.407000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.408000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.409000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.410000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.411000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.412000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.413000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.414000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.415000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.416000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.417000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.418000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.419000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.420000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.421000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.422000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.423000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.424000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.425000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.426000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.427000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
VISUAL,0.428000,5,0,3,0,0.625000,0.625000,1.000000,0.769231,0.384615,false
