Sha256,FileName,Expected,LabelSource,TitleTypes,QrLabels,PreviousDecision,PreviousResolutionReason,ResolvedDecision,ResolutionReason,CorrectWhenDecided,D1cGateApplied,StrongFacturaTitle,StrongEvidenceLine,GateReason
167929F9016E97C2CCFE59A2730534C5CD51282608A17A4EF1F23FA5F94104D9,Z001023267215.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA|FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
167AC28EE4C9F156D7A730F3269118C5AD78B7F582E3FFC178BCB3FDB0A11DF7,Z001023366766.pdf,OTRO_DOCUMENTO,QR_ARCA_STRONG,NOTA_DEBITO|FACTURA,OTRO_DOCUMENTO,OTRO_DOCUMENTO,QR_ARCA_VALID_OTHER,OTRO_DOCUMENTO,QR_ARCA_VALID_OTHER,True,False,,,NOT_APPLICABLE
169353E3142E56941120B753DAE9B0E5A3527AE78A7B064582040B1D7E98FB61,Z001023336306.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
16D63A67B2329B876A7EB150497C22D00A7FC6CA3C3D9F3D21BDEACB8FC493A8,Z001023366961.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA|FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
16E375C7BFC7DEA12A79C7383665C85A3E059F7F5A69AF0C52D3D4ACC27A9341,Z001023398681.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA|FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
1755304EBD124B8B4E1309831FBEB3F6EE40934A39AC4CCF8C158A506F931EF1,Z001023283807.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
17645D40FA69A6828FBC913F3B3EAD8309B9DE2BA50E47598747209A0F923A62,Z001023423181.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
1774A5264220F2FF45E5BC66ABA462BACACE62D7E6CC8D8B4C325FF2953FA33C,Z001023320999.pdf,FACTURA,QR_ARCA_STRONG,,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
17F70ACA0C08EBBB8F9BDC9AB4A180DF161AB6F073AA8057FC19989E0080C69F,Z001023398630.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
180A072CF185D173A359A133EF852156206CE288B38F895772950BE3A2822433,Z001023397875.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
1838C5E4581C360065CA938F288AFE4710F33C0DFF2B9D832801704DAD65E410,Z001023467588.pdf,FACTURA,QR_ARCA_STRONG,FACTURA,FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,FACTURA,QR_ARCA_VALID_FACTURA,True,False,,,NOT_APPLICABLE
